in s,C1 in V
-2.98512E-05,-1.83203E-02
-2.98512E-05,1.09766E-02
-2.98504E-05,1.21094E-03
-2.98504E-05,1.09766E-02
-2.98496E-05,-1.83203E-02
-2.98496E-05,1.21094E-03
-2.98488E-05,-1.83203E-02
-2.98488E-05,3.05078E-02
-2.98480E-05,-8.55469E-03
-2.98480E-05,3.05078E-02
-2.98472E-05,-8.55469E-03
-2.98472E-05,1.21094E-03
-2.98464E-05,1.21094E-03
-2.98464E-05,1.21094E-03
-2.98456E-05,-2.80859E-02
-2.98456E-05,1.21094E-03
-2.98448E-05,-2.80859E-02
-2.98448E-05,1.21094E-03
-2.98440E-05,1.21094E-03
-2.98440E-05,1.09766E-02
-2.98432E-05,-1.83203E-02
-2.98432E-05,1.09766E-02
-2.98424E-05,-1.83203E-02
-2.98424E-05,1.21094E-03
-2.98416E-05,-1.83203E-02
-2.98416E-05,1.21094E-03
-2.98408E-05,-1.83203E-02
-2.98408E-05,1.09766E-02
-2.98400E-05,-8.55469E-03
-2.98400E-05,1.09766E-02
-2.98392E-05,-1.83203E-02
-2.98392E-05,-8.55469E-03
-2.98384E-05,-1.83203E-02
-2.98384E-05,-8.55469E-03
-2.98376E-05,-1.83203E-02
-2.98376E-05,1.21094E-03
-2.98368E-05,-1.83203E-02
-2.98368E-05,1.21094E-03
-2.98360E-05,-1.83203E-02
-2.98360E-05,-8.55469E-03
-2.98352E-05,-1.83203E-02
-2.98352E-05,-8.55469E-03
-2.98344E-05,-1.83203E-02
-2.98344E-05,-8.55469E-03
-2.98336E-05,-3.78516E-02
-2.98336E-05,-8.55469E-03
-2.98328E-05,-3.78516E-02
-2.98328E-05,-8.55469E-03
-2.98320E-05,-2.80859E-02
-2.98320E-05,1.21094E-03
-2.98312E-05,-8.55469E-03
-2.98312E-05,1.21094E-03
-2.98304E-05,-1.83203E-02
-2.98304E-05,1.09766E-02
-2.98296E-05,-1.83203E-02
-2.98296E-05,1.09766E-02
-2.98288E-05,-2.80859E-02
-2.98288E-05,1.09766E-02
-2.98280E-05,-2.80859E-02
-2.98280E-05,2.07422E-02
-2.98272E-05,-8.55469E-03
-2.98272E-05,2.07422E-02
-2.98264E-05,-8.55469E-03
-2.98264E-05,1.09766E-02
-2.98256E-05,-8.55469E-03
-2.98256E-05,2.07422E-02
-2.98248E-05,1.21094E-03
-2.98248E-05,2.07422E-02
-2.98240E-05,1.21094E-03
-2.98240E-05,2.07422E-02
-2.98232E-05,-1.83203E-02
-2.98232E-05,2.07422E-02
-2.98224E-05,-1.83203E-02
-2.98224E-05,1.21094E-03
-2.98216E-05,-1.83203E-02
-2.98216E-05,1.09766E-02
-2.98208E-05,-1.83203E-02
-2.98208E-05,1.09766E-02
-2.98200E-05,-1.83203E-02
-2.98200E-05,-8.55469E-03
-2.98192E-05,-2.80859E-02
-2.98192E-05,-8.55469E-03
-2.98184E-05,-3.78516E-02
-2.98184E-05,-1.83203E-02
-2.98176E-05,-3.78516E-02
-2.98176E-05,1.21094E-03
-2.98168E-05,-8.55469E-03
-2.98168E-05,1.21094E-03
-2.98160E-05,-1.83203E-02
-2.98160E-05,2.07422E-02
-2.98152E-05,-2.80859E-02
-2.98152E-05,2.07422E-02
-2.98144E-05,-2.80859E-02
-2.98144E-05,1.21094E-03
-2.98136E-05,-1.83203E-02
-2.98136E-05,1.21094E-03
-2.98128E-05,-8.55469E-03
-2.98128E-05,1.21094E-03
-2.98120E-05,-8.55469E-03
-2.98120E-05,1.21094E-03
-2.98112E-05,-8.55469E-03
-2.98112E-05,1.09766E-02
-2.98104E-05,-1.83203E-02
-2.98104E-05,1.09766E-02
-2.98096E-05,-1.83203E-02
-2.98096E-05,1.21094E-03
-2.98088E-05,-8.55469E-03
-2.98088E-05,1.21094E-03
-2.98080E-05,-3.78516E-02
-2.98080E-05,2.07422E-02
-2.98072E-05,-3.78516E-02
-2.98072E-05,2.07422E-02
-2.98064E-05,-2.80859E-02
-2.98064E-05,2.07422E-02
-2.98056E-05,-8.55469E-03
-2.98056E-05,2.07422E-02
-2.98048E-05,-1.83203E-02
-2.98048E-05,2.07422E-02
-2.98040E-05,-1.83203E-02
-2.98040E-05,2.07422E-02
-2.98032E-05,-8.55469E-03
-2.98032E-05,1.09766E-02
-2.98024E-05,1.21094E-03
-2.98024E-05,1.09766E-02
-2.98016E-05,-1.83203E-02
-2.98016E-05,2.07422E-02
-2.98008E-05,-2.80859E-02
-2.98008E-05,2.07422E-02
-2.98000E-05,-2.80859E-02
-2.98000E-05,1.21094E-03
-2.97992E-05,-8.55469E-03
-2.97992E-05,1.21094E-03
-2.97984E-05,-8.55469E-03
-2.97984E-05,2.07422E-02
-2.97976E-05,-2.80859E-02
-2.97976E-05,2.07422E-02
-2.97968E-05,-2.80859E-02
-2.97968E-05,1.21094E-03
-2.97960E-05,-2.80859E-02
-2.97960E-05,3.05078E-02
-2.97952E-05,-2.80859E-02
-2.97952E-05,3.05078E-02
-2.97944E-05,-2.80859E-02
-2.97944E-05,1.09766E-02
-2.97936E-05,-2.80859E-02
-2.97936E-05,1.09766E-02
-2.97928E-05,-8.55469E-03
-2.97928E-05,1.09766E-02
-2.97920E-05,1.21094E-03
-2.97920E-05,2.07422E-02
-2.97912E-05,-2.80859E-02
-2.97912E-05,2.07422E-02
-2.97904E-05,-3.78516E-02
-2.97904E-05,1.21094E-03
-2.97896E-05,-3.78516E-02
-2.97896E-05,1.21094E-03
-2.97888E-05,-8.55469E-03
-2.97888E-05,1.09766E-02
-2.97880E-05,-8.55469E-03
-2.97880E-05,1.09766E-02
-2.97872E-05,-8.55469E-03
-2.97872E-05,2.07422E-02
-2.97864E-05,1.21094E-03
-2.97864E-05,2.07422E-02
-2.97856E-05,1.21094E-03
-2.97856E-05,2.07422E-02
-2.97848E-05,1.21094E-03
-2.97848E-05,1.09766E-02
-2.97840E-05,-8.55469E-03
-2.97840E-05,1.09766E-02
-2.97832E-05,-1.83203E-02
-2.97832E-05,1.09766E-02
-2.97824E-05,-3.78516E-02
-2.97824E-05,-8.55469E-03
-2.97816E-05,-3.78516E-02
-2.97816E-05,-8.55469E-03
-2.97808E-05,-2.80859E-02
-2.97808E-05,-8.55469E-03
-2.97800E-05,-2.80859E-02
-2.97800E-05,1.21094E-03
-2.97792E-05,-8.55469E-03
-2.97792E-05,1.21094E-03
-2.97784E-05,-2.80859E-02
-2.97784E-05,1.21094E-03
-2.97776E-05,-2.80859E-02
-2.97776E-05,1.21094E-03
-2.97768E-05,-1.83203E-02
-2.97768E-05,3.05078E-02
-2.97760E-05,-1.83203E-02
-2.97760E-05,3.05078E-02
-2.97752E-05,-1.83203E-02
-2.97752E-05,1.09766E-02
-2.97744E-05,-1.83203E-02
-2.97744E-05,-8.55469E-03
-2.97736E-05,-1.83203E-02
-2.97736E-05,2.07422E-02
-2.97728E-05,-8.55469E-03
