time (s),C1 (V)
-1.05E-06,2.07031E-03
-1.05E-06,2.07031E-03
-1.05E-06,5.08984E-02
-1.05E-06,-1.75E-02
-1.05E-06,2.07031E-03
-1.05E-06,-7.70E-03
-1.05E-06,2.07031E-03
-1.05E-06,2.16016E-02
-1.05E-06,1.18359E-02
-1.05E-06,3.13672E-02
-1.05E-06,1.18359E-02
-1.05E-06,3.13672E-02
-1.05E-06,4.11328E-02
-1.05E-06,2.07031E-03
-1.05E-06,3.13672E-02
-1.05E-06,2.07031E-03
-1.05E-06,2.16016E-02
-1.05E-06,2.07031E-03
-1.05E-06,2.07031E-03
-1.05E-06,-1.75E-02
-1.05E-06,2.07031E-03
-1.05E-06,2.16016E-02
-1.04E-06,4.11328E-02
-1.04E-06,-7.70E-03
-1.04E-06,2.07031E-03
-1.04E-06,2.07031E-03
-1.04E-06,1.18359E-02
-1.04E-06,2.16016E-02
-1.04E-06,5.08984E-02
-1.04E-06,2.07031E-03
-1.04E-06,2.07031E-03
-1.04E-06,-7.70E-03
-1.04E-06,2.16016E-02
-1.04E-06,2.16016E-02
-1.04E-06,-1.75E-02
-1.04E-06,1.18359E-02
-1.04E-06,-7.70E-03
-1.04E-06,2.07031E-03
-1.04E-06,3.13672E-02
-1.04E-06,-7.70E-03
-1.04E-06,2.07031E-03
-1.04E-06,-2.72E-02
-1.04E-06,4.11328E-02
-1.04E-06,2.16016E-02
-1.04E-06,2.07031E-03
-1.04E-06,1.18359E-02
-1.04E-06,2.16016E-02
-1.03E-06,4.11328E-02
-1.03E-06,3.13672E-02
-1.03E-06,2.16016E-02
-1.03E-06,2.16016E-02
-1.03E-06,1.18359E-02
-1.03E-06,-7.70E-03
-1.03E-06,-1.75E-02
-1.03E-06,1.18359E-02
-1.03E-06,-7.70E-03
-1.03E-06,1.18359E-02
-1.03E-06,-7.70E-03
-1.03E-06,4.11328E-02
-1.03E-06,1.18359E-02
-1.03E-06,1.18359E-02
-1.03E-06,-1.75E-02
-1.03E-06,2.16016E-02
-1.03E-06,2.16016E-02
-1.03E-06,2.16016E-02
-1.03E-06,2.07031E-03
-1.03E-06,2.16016E-02
-1.03E-06,-7.70E-03
-1.03E-06,2.07031E-03
-1.03E-06,1.18359E-02
-1.03E-06,-1.75E-02
-1.03E-06,-7.70E-03
-1.02E-06,-2.72E-02
-1.02E-06,-7.70E-03
-1.02E-06,3.13672E-02
-1.02E-06,-7.70E-03
-1.02E-06,1.18359E-02
-1.02E-06,-7.70E-03
-1.02E-06,3.13672E-02
-1.02E-06,1.18359E-02
-1.02E-06,1.18359E-02
-1.02E-06,2.16016E-02
-1.02E-06,2.16016E-02
-1.02E-06,-7.70E-03
-1.02E-06,2.07031E-03
-1.02E-06,1.18359E-02
-1.02E-06,-1.75E-02
-1.02E-06,1.18359E-02
-1.02E-06,2.16016E-02
-1.02E-06,1.18359E-02
-1.02E-06,3.13672E-02
-1.02E-06,1.18359E-02
-1.02E-06,2.16016E-02
-1.02E-06,3.13672E-02
-1.02E-06,3.13672E-02
-1.02E-06,2.16016E-02
-1.02E-06,2.07031E-03
-1.01E-06,-7.70E-03
-1.01E-06,-7.70E-03
-1.01E-06,2.07031E-03
-1.01E-06,2.16016E-02
-1.01E-06,1.18359E-02
-1.01E-06,4.11328E-02
-1.01E-06,2.07031E-03
-1.01E-06,1.18359E-02
-1.01E-06,-7.70E-03
-1.01E-06,1.18359E-02
-1.01E-06,1.18359E-02
-1.01E-06,4.11328E-02
-1.01E-06,1.18359E-02
-1.01E-06,2.16016E-02
-1.01E-06,3.13672E-02
-1.01E-06,2.07031E-03
-1.01E-06,6.06641E-02
-1.01E-06,4.11328E-02
-1.01E-06,-7.70E-03
-1.01E-06,2.16016E-02
-1.01E-06,1.18359E-02
-1.01E-06,1.18359E-02
-1.01E-06,1.18359E-02
-1.01E-06,-7.70E-03
-1.01E-06,-2.72E-02
-1.00E-06,4.11328E-02
-1.00E-06,1.18359E-02
-1.00E-06,2.07031E-03
-1.00E-06,1.18359E-02
-1.00E-06,2.16016E-02
